                              time_stamp,              id_,                     Light
18-07-2021 08:33,###############################################################################################################################################################################################################################################################,4
18-07-2021 08:33,###############################################################################################################################################################################################################################################################,2
18-07-2021 08:33,###############################################################################################################################################################################################################################################################,3
18-07-2021 08:33,###############################################################################################################################################################################################################################################################,5
18-07-2021 08:33,###############################################################################################################################################################################################################################################################,6
18-07-2021 08:38,###############################################################################################################################################################################################################################################################,5
18-07-2021 08:43,###############################################################################################################################################################################################################################################################,3
18-07-2021 08:48,###############################################################################################################################################################################################################################################################,2
18-07-2021 08:53,###############################################################################################################################################################################################################################################################,2
18-07-2021 09:39,###############################################################################################################################################################################################################################################################,1
18-07-2021 09:44,###############################################################################################################################################################################################################################################################,5
18-07-2021 09:49,###############################################################################################################################################################################################################################################################,4
18-07-2021 09:54,###############################################################################################################################################################################################################################################################,2
18-07-2021 09:58,###############################################################################################################################################################################################################################################################,2
18-07-2021 09:59,###############################################################################################################################################################################################################################################################,5
18-07-2021 10:00,###############################################################################################################################################################################################################################################################,2
18-07-2021 10:05,###############################################################################################################################################################################################################################################################,1
18-07-2021 10:10,###############################################################################################################################################################################################################################################################,2
18-07-2021 10:15,###############################################################################################################################################################################################################################################################,3
18-07-2021 10:20,###############################################################################################################################################################################################################################################################,6
18-07-2021 10:25,###############################################################################################################################################################################################################################################################,2
18-07-2021 10:30,###############################################################################################################################################################################################################################################################,4
18-07-2021 10:33,###############################################################################################################################################################################################################################################################,4
18-07-2021 10:38,###############################################################################################################################################################################################################################################################,2
10-07-2021 10:41,###############################################################################################################################################################################################################################################################,2
18-07-2021 10:41,###############################################################################################################################################################################################################################################################,3
18-07-2021 10:46,###############################################################################################################################################################################################################################################################,2
18-07-2021 10:51,###############################################################################################################################################################################################################################################################,2
18-07-2021 10:56,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:01,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,3
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,1
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,4
18-07-2021 11:03,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:04,###############################################################################################################################################################################################################################################################,8
18-07-2021 11:04,###############################################################################################################################################################################################################################################################,8
18-07-2021 11:04,###############################################################################################################################################################################################################################################################,5
18-07-2021 11:04,###############################################################################################################################################################################################################################################################,5
18-07-2021 11:04,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:09,###############################################################################################################################################################################################################################################################,3
18-07-2021 11:14,###############################################################################################################################################################################################################################################################,3
18-07-2021 11:19,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:24,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:29,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:34,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:39,###############################################################################################################################################################################################################################################################,4
18-07-2021 11:44,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:49,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:54,###############################################################################################################################################################################################################################################################,2
18-07-2021 11:59,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:04,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:09,###############################################################################################################################################################################################################################################################,4
18-07-2021 12:14,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:19,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:24,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:29,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:34,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:39,###############################################################################################################################################################################################################################################################,4
18-07-2021 12:44,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:49,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:54,###############################################################################################################################################################################################################################################################,2
18-07-2021 12:59,###############################################################################################################################################################################################################################################################,2
18-07-2021 01:04,###############################################################################################################################################################################################################################################################,2
            Above data is given as Graph:-,,
,,
,,
,,
,,
